Time Taken (mins),Complexity (1-5),Frequency,Tool Used,Department,Error Rate (%),Rule-Based Indicator,Process Stability,Data Structure,Actual,Predicted,Feasibility %,Model
0.3802948537140842,2,Quarterly,Trello,Customer Service,-1.058713767172603,Yes,Medium,Semi-Structured,Yes,Yes,60.84,Neural Network
-0.6528246552047396,2,Ad-Hoc,Slack,Procurement,-1.529067547830042,Yes,Low,Unstructured,No,Yes,57.66,Neural Network
0.8968546081734962,4,Monthly,Jira,Human Resource,-0.552178926464593,No,Medium,Semi-Structured,Yes,Yes,54.25,Neural Network
-1.418758084230764,3,Quarterly,SAP,Compliance,-0.552178926464593,Yes,Low,Unstructured,No,Yes,53.53,Neural Network
-0.2431393327024474,2,Ad-Hoc,Google Sheets,IT,0.4608907549514277,No,Medium,Structured,No,No,34.73,Neural Network
1.235290309371042,5,Weekly,Slack,Sales,0.0006079910090972479,No,Low,Unstructured,Yes,No,42.46,Neural Network
0.6474809336068835,1,Monthly,Custom Portal,Compliance,0.6417960552042885,Yes,Medium,Semi-Structured,No,No,39.01,Neural Network
0.5406065016497638,5,Ad-Hoc,Excel,IT,-0.1903683259588713,No,Medium,Structured,No,No,31.18,Neural Network
-1.507820110861697,2,Weekly,Google Sheets,IT,-0.2627304460600157,Yes,High,Structured,Yes,Yes,55.81,Neural Network
0.3268576377355243,1,Quarterly,Jira,Admin,-1.203438007374892,Yes,Medium,Semi-Structured,Yes,Yes,59.18,Neural Network
1.217477904044855,3,Weekly,SharePoint,Compliance,-1.275800127476036,Yes,Medium,Semi-Structured,Yes,Yes,52.8,Neural Network
0.7365429602378166,1,Monthly,Zoom,Sales,-0.2265493860094436,Yes,Low,Unstructured,No,No,37.67,Neural Network
-0.403450980638127,4,Daily,Custom Portal,Compliance,-0.2627304460600157,No,Medium,Semi-Structured,No,No,44.18,Neural Network
1.306539930675788,1,Monthly,Trello,Marketing,-0.2265493860094436,Yes,Medium,Semi-Structured,Yes,Yes,54.52,Neural Network
-0.54595022324762,4,Monthly,Outlook,Customer Service,-1.746153908133474,No,High,Structured,Yes,Yes,61.47,Neural Network
